Date,Open,High,Low,Close,Volume
2017-01-20T00:00:00.000000Z,114.842,115.386,114.212,114.585,1000000
2017-01-23T00:00:00.000000Z,114.595,114.595,112.700,112.700,1000000
2017-01-24T00:00:00.000000Z,112.654,113.894,112.526,113.782,1000000
2017-01-25T00:00:00.000000Z,113.770,113.993,113.040,113.280,1000000
2017-01-26T00:00:00.000000Z,113.250,114.857,113.053,114.537,1000000
2017-01-27T00:00:00.000000Z,114.558,115.378,114.392,115.094,1000000
2017-01-30T00:00:00.000000Z,114.759,114.958,113.447,113.780,1000000
2017-01-31T00:00:00.000000Z,113.766,113.962,112.082,112.802,1000000
2017-02-01T00:00:00.000000Z,112.795,113.954,112.644,113.248,1000000
2017-02-02T00:00:00.000000Z,113.215,113.364,112.056,112.806,1000000
2017-02-03T00:00:00.000000Z,112.818,113.488,112.314,112.596,1000000
2017-02-06T00:00:00.000000Z,112.486,112.780,111.622,111.745,1000000
2017-02-07T00:00:00.000000Z,111.732,112.582,111.594,112.398,1000000
2017-02-08T00:00:00.000000Z,112.382,112.546,111.632,111.932,1000000
2017-02-09T00:00:00.000000Z,111.952,113.348,111.739,113.248,1000000
2017-02-10T00:00:00.000000Z,113.264,113.862,112.860,113.227,1000000
2017-02-13T00:00:00.000000Z,113.546,114.168,113.436,113.738,1000000
2017-02-14T00:00:00.000000Z,113.751,114.501,113.250,114.264,1000000
2017-02-15T00:00:00.000000Z,114.243,114.955,113.864,114.154,1000000
2017-02-16T00:00:00.000000Z,114.142,114.314,113.079,113.246,1000000
2017-02-17T00:00:00.000000Z,113.256,113.505,112.620,112.809,1000000
2017-02-20T00:00:00.000000Z,112.890,113.239,112.792,113.103,1000000
2017-02-21T00:00:00.000000Z,113.095,113.780,113.090,113.683,1000000
2017-02-22T00:00:00.000000Z,113.668,113.735,112.908,113.314,1000000
2017-02-23T00:00:00.000000Z,113.332,113.461,112.552,112.624,1000000
2017-02-24T00:00:00.000000Z,112.602,112.955,111.936,112.125,1000000
2017-02-27T00:00:00.000000Z,112.172,112.844,111.920,112.690,1000000
2017-02-28T00:00:00.000000Z,112.715,112.902,111.688,112.789,1000000
2017-03-01T00:00:00.000000Z,112.747,114.056,112.726,113.726,1000000
2017-03-02T00:00:00.000000Z,113.738,114.598,113.682,114.406,1000000
2017-03-03T00:00:00.000000Z,114.400,114.754,113.811,114.005,1000000
2017-03-06T00:00:00.000000Z,113.906,114.143,113.559,113.896,1000000
2017-03-07T00:00:00.000000Z,113.879,114.156,113.730,113.980,1000000
2017-03-08T00:00:00.000000Z,113.996,114.758,113.612,114.387,1000000
2017-03-09T00:00:00.000000Z,114.324,115.003,114.312,114.962,1000000
2017-03-10T00:00:00.000000Z,114.938,115.504,114.652,114.758,1000000
2017-03-13T00:00:00.000000Z,114.738,114.927,114.482,114.882,1000000
2017-03-14T00:00:00.000000Z,114.889,115.193,114.518,114.738,1000000
2017-03-15T00:00:00.000000Z,114.777,114.883,113.170,113.382,1000000
2017-03-16T00:00:00.000000Z,113.375,113.552,112.902,113.306,1000000
2017-03-17T00:00:00.000000Z,113.300,113.496,112.563,112.709,1000000
2017-03-20T00:00:00.000000Z,112.682,112.899,112.454,112.558,1000000
2017-03-21T00:00:00.000000Z,112.566,112.869,111.540,111.723,1000000
2017-03-22T00:00:00.000000Z,111.725,111.791,110.731,111.155,1000000
2017-03-23T00:00:00.000000Z,111.150,111.578,110.628,110.930,1000000
