Date,Open,High,Low,Close,Volume
2015-01-20T00:00:00.000000Z,1.19386,1.21149,1.19386,1.21136,1000000
2015-01-21T00:00:00.000000Z,1.21106,1.23942,1.20631,1.23405,1000000
2015-01-22T00:00:00.000000Z,1.23423,1.24196,1.23136,1.23832,1000000
2015-01-23T00:00:00.000000Z,1.23832,1.24609,1.23604,1.24212,1000000
2015-01-26T00:00:00.000000Z,1.24456,1.24896,1.24053,1.24742,1000000
2015-01-27T00:00:00.000000Z,1.24730,1.25008,1.23796,1.23981,1000000
2015-01-28T00:00:00.000000Z,1.23981,1.25376,1.23886,1.25332,1000000
2015-01-29T00:00:00.000000Z,1.25328,1.26776,1.25116,1.26188,1000000
2015-01-30T00:00:00.000000Z,1.26220,1.27990,1.26082,1.27300,1000000
2015-02-02T00:00:00.000000Z,1.27031,1.27727,1.25576,1.25672,1000000
2015-02-03T00:00:00.000000Z,1.25714,1.26446,1.23518,1.24150,1000000
2015-02-04T00:00:00.000000Z,1.24174,1.25928,1.23906,1.25774,1000000
2015-02-05T00:00:00.000000Z,1.25714,1.25869,1.23938,1.24361,1000000
2015-02-06T00:00:00.000000Z,1.24360,1.25465,1.23734,1.25236,1000000
2015-02-09T00:00:00.000000Z,1.25374,1.25428,1.24290,1.24672,1000000
2015-02-10T00:00:00.000000Z,1.24672,1.26242,1.24514,1.25882,1000000
2015-02-11T00:00:00.000000Z,1.25882,1.26980,1.25721,1.26328,1000000
2015-02-12T00:00:00.000000Z,1.26311,1.26456,1.24382,1.25094,1000000
2015-02-13T00:00:00.000000Z,1.25098,1.25372,1.24219,1.24520,1000000
2015-02-16T00:00:00.000000Z,1.24427,1.24906,1.24211,1.24649,1000000
2015-02-17T00:00:00.000000Z,1.24646,1.24790,1.23628,1.23900,1000000
2015-02-18T00:00:00.000000Z,1.23900,1.24661,1.23816,1.24540,1000000
2015-02-19T00:00:00.000000Z,1.24538,1.25591,1.24372,1.24952,1000000
2015-02-20T00:00:00.000000Z,1.24964,1.25644,1.24226,1.25336,1000000
2015-02-23T00:00:00.000000Z,1.25302,1.26246,1.25236,1.25706,1000000
2015-02-24T00:00:00.000000Z,1.25746,1.26639,1.24789,1.24884,1000000
2015-02-25T00:00:00.000000Z,1.24904,1.24979,1.23994,1.24361,1000000
